Generation,Best Fitness,Avg Fitness,Timestamp
0,-0.5719999999999545,-1.4841079999999351,1765472389.412609
1,-0.7467999999999542,-1.467030666666602,1765472919.193515
2,-0.48779999999997214,-1.4856473333332665,1765473459.2256024
3,0.16120000000000484,-1.5221293333332642,1765474040.1969438
4,-0.07179999999999583,-1.500461999999933,1765474606.4712582
5,-0.8729999999999498,-1.6151933333332567,1765475238.0551696
6,-0.3699999999999847,-1.4408706666666047,1765475753.347064
7,-0.5539999999999956,-1.5041306666665992,1765476301.4792616
8,-0.7641999999999781,-1.4617686666666003,1765476857.9327092
9,-0.36959999999996784,-1.4435999999999385,1765477412.7573893
10,-0.2745999999999788,-1.4208747619047017,1765477959.8063405
11,-0.8465999999999985,-1.569745999999934,1765478557.5985098
12,-0.49119999999999575,-1.4551066666666008,1765479089.5809376
13,-0.8361999999999752,-1.520747142857077,1765479650.6789377
14,-0.07099999999997597,-1.5143466666665983,1765480258.1805906
15,-0.6981999999999473,-1.5361473333332656,1765480828.1418982
16,-0.6155999999999541,-1.5526368571427878,1765481423.086215
17,-1.0267999999999724,-1.6308810476189737,1765482000.2141366
18,-0.7719999999999747,-1.4853426666666012,1765482583.1757154
19,-0.7977999999999772,-1.549283333333267,1765483152.779886
20,-0.5279999999999533,-1.5832733333332578,1765483720.184359
21,-0.6247999999999762,-1.5600226666665957,1765484323.6691186
22,0.22520000000002288,-1.517527333333264,1765484890.931902
23,-1.0247999999999726,-1.6682313333332544,1765485534.0095718
24,-0.8949999999999749,-1.569205999999928,1765486119.23
25,-0.6493999999999748,-1.5869926666665948,1765486712.9555798
26,0.058400000000025785,-1.611769333333256,1765487339.0262866
27,-0.8227999999999476,-1.5641993333332593,1765487942.7638335
28,-0.5459999999999916,-1.533035333333261,1765488526.4919262
29,-0.9775999999999545,-1.616010666666591,1765489118.5876396
30,-1.1067999999999407,-1.5975460952380223,1765489716.339939
31,-0.7757999999999854,-1.5140413333332665,1765490320.9465945
32,-1.0881999999999727,-1.5907253333332632,1765490917.652005
33,-0.6703999999999318,-1.606029999999924,1765491528.2745442
34,-0.9691999999999545,-1.5426152380951705,1765492115.4750147
35,-0.42219999999997704,-1.4864486666666012,1765492684.7130606
36,-0.2811999999999863,-1.4462786666666034,1765493252.642271
37,-0.6315999999999772,-1.529525999999933,1765493807.531417
38,-0.665999999999985,-1.5087213333332687,1765494421.7796867
39,-0.3629999999999398,-1.4113999999999398,1765494962.6422138
40,-0.5205999999999739,-1.4551699999999352,1765495520.333758
41,-0.8475999999999952,-1.5770839999999293,1765496102.7604818
42,-0.7957999999999747,-1.4584093333332695,1765496671.5396662
43,-0.2861999999999976,-1.451754666666601,1765497246.3013813
44,-0.7065999999999754,-1.54399199999993,1765497818.5335977
45,-0.4759999999999822,-1.4221159999999375,1765498415.6052492
46,-0.8511999999999731,-1.6326319999999235,1765499067.9782183
47,-0.5923999999999398,-1.4784326666666,1765499631.1614242
48,-0.41099999999999837,-1.458895333333269,1765500177.6471505
49,-0.5892000000000002,-1.5587639999999328,1765500778.793916
50,-0.3239999999999539,-1.3578618095237502,1765501336.404096
51,-0.25679999999995684,-1.3608813333332737,1765501852.4635532
52,-0.5859999999999589,-1.4289366666666063,1765502410.2228007
53,-0.39239999999998654,-1.5127673333332685,1765502966.102734
54,-0.6777999999999509,-1.424729999999941,1765503540.5504158
51,0.5220000000000169,-0.5241776190475926,1765504943.0385816
52,0.23839999999999978,-0.6263819999999746,1765505280.6792548
53,0.6684000000000394,-0.6222133333333021,1765505608.4201655
54,0.5516000000000089,-0.7007666666666356,1765505966.455888
55,0.4738000000000378,-0.6567459999999735,1765506290.925659
56,-0.010399999999955594,-0.6814658095237819,1765506639.9608445
57,0.27760000000000656,-0.7396415238094961,1765507017.209952
58,0.06800000000003101,-0.7019140952380662,1765507360.0218723
59,-0.055599999999947206,-0.7118321904761622,1765507715.9125478
60,-0.0801999999999976,-0.6892721904761604,1765508092.5851061
61,0.29800000000000687,-0.5776030476190218,1765508408.7401586
62,-0.004600000000000093,-0.8077957142856799,1765508806.7300775
63,0.08840000000003559,-0.7365753333333062,1765509167.7363446
64,0.24600000000006025,-0.7261419999999714,1765509557.3940303
65,0.17500000000006058,-0.6573387619047361,1765509914.3243866
66,0.1772000000000363,-0.7928008571428243,1765510317.5575366
67,0.2710000000000131,-0.6205226666666426,1765510637.2691987
68,0.2534000000000225,-0.6650706666666377,1765510966.5119536
69,0.011400000000017086,-0.6926455238094953,1765511312.4238162
70,0.5704000000000085,-0.6858513333333067,1765511657.3557444
71,0.18540000000001303,-0.8809553333332967,1765512076.3329248
72,0.06620000000001439,-0.7436918095237769,1765512450.678237
73,0.03233333333335656,-0.7938845714285407,1765512839.3082123
74,0.07900000000000476,-0.7528206666666359,1765513220.709407
75,0.427800000000002,-0.7171819999999717,1765513580.5435016
76,0.2860000000000106,-0.7501739999999717,1765513952.2159498
77,0.15160000000000232,-0.7328253333333044,1765514315.215849
78,-0.07919999999996227,-0.721528666666637,1765514678.4644618
79,0.1442857142857526,-0.648674952380926,1765515025.6655252
80,0.021200000000018714,-0.7515296190475893,1765515428.9755032
81,0.5676000000000043,-0.783085333333306,1765515823.7429004
